,aai_pair,euclidean,standard_euclidean,manhattan,chebyshev,cosine,pearson,spearman,M
80,"(8, 22)",26.30590668,2.802424253,134.8673877,8.295225363,0.050618463,0.901830229,0.994091247,1
11,"(8, 14)",26.93248208,2.651713734,137.5125,8.8,0.045881634,0.912105178,0.993334637,1
213,"(5, 12)",176.3186046,8.631029873,1093.047619,41.16666667,0.244210132,0.091528333,0.09212674,1
67,"(5, 7)",180.206777,9.332793092,1161.504762,41.21428571,0.25853084,0.032210812,0.025964919,1
115,"(7, 15)",11.6786629,2.177531134,52.33152177,5.126766917,0.022856163,0.947315091,0.933007085,-1
1,"(4, 8)",1.095809346,4.974250623,4.099504656,0.697201608,0.138949795,0.690710384,0.89659258,1
105,"(17, 21)",1.824810931,0.177485176,8.66215693,0.711444051,0.000159397,0.999615842,0.997402141,-1
238,"(11, 22)",13.961462,2.24691267,68.76911538,4.792694805,0.026707462,0.943904261,0.964893798,-1
253,"(0, 5)",190.3210493,9.56704678,1233.44275,41.84569665,0.270288413,-0.016982045,-0.03251934,1
119,"(4, 11)",15.47729867,5.076935842,74.48272109,7.131292517,0.127907153,0.677809031,0.827338856,-1
58,"(5, 19)",153.940169,7.029635554,941.8446429,39.16666667,0.201441206,0.397368585,0.346281151,1
239,"(6, 7)",13.53421716,2.8219251,67.12380952,4.438095238,0.040390411,0.902887058,0.926169147,-1
190,"(3, 7)",14.64718848,1.770195114,72.09761905,4.257142857,0.016393271,0.961785479,0.964481739,-1
9,"(5, 18)",173.6384117,8.307066001,1102.269643,40.1,0.203256889,0.215825619,0.103415147,1
216,"(21, 23)",3.339146528,0.253596313,18.25639567,0.93534632,0.000238511,0.999285432,0.996146435,-1
89,"(14, 20)",43.61669376,0.907585119,212.4625935,15.20878446,0.004186443,0.989954747,0.984149348,-1
48,"(5, 9)",186.9838808,7.985235131,1210.183333,41.8,0.181739539,0.291511332,0.208214863,1
84,"(8, 24)",68.1678122,3.641975196,349.5834591,19.19522536,0.078685081,0.834200208,0.96023294,1
70,"(5, 20)",147.1785846,8.790960271,883.05,38,0.209135778,0.121807017,0.05428579,1
240,"(5, 21)",170.5407057,8.816421458,1094.194297,40.87575758,0.190617624,0.136341252,0.130958924,1
138,"(21, 22)",8.127058609,0.546596861,38.58571429,3.1,0.001554843,0.996356486,0.994278562,-1
215,"(11, 16)",54.10648051,2.614633241,261.8365113,18.95788221,0.038275363,0.916630403,0.938308396,-1
